Census_Tract_Name,Total population
Census Tract 1112.04; Los Angeles County; California!!Estimate,"5,902"
Census Tract 1112.05; Los Angeles County; California!!Estimate,"3,627"
Census Tract 1112.06; Los Angeles County; California!!Estimate,"4,295"
Census Tract 1113.02; Los Angeles County; California!!Estimate,"4,967"
Census Tract 1113.03; Los Angeles County; California!!Estimate,"4,567"
Census Tract 1113.04; Los Angeles County; California!!Estimate,"3,082"
Census Tract 1114.01; Los Angeles County; California!!Estimate,"2,193"
Census Tract 1114.02; Los Angeles County; California!!Estimate,"5,998"
Census Tract 1131.01; Los Angeles County; California!!Estimate,"3,540"
Census Tract 1131.02; Los Angeles County; California!!Estimate,"2,980"
Census Tract 1132.11; Los Angeles County; California!!Estimate,"4,138"
Census Tract 1132.12; Los Angeles County; California!!Estimate,"2,872"
Census Tract 1132.13; Los Angeles County; California!!Estimate,"5,068"
Census Tract 1132.31; Los Angeles County; California!!Estimate,"2,233"
Census Tract 1132.32; Los Angeles County; California!!Estimate,"4,777"
Census Tract 1132.34; Los Angeles County; California!!Estimate,"5,640"
Census Tract 1132.35; Los Angeles County; California!!Estimate,"1,690"
Census Tract 1132.37; Los Angeles County; California!!Estimate,"4,765"
Census Tract 1132.38; Los Angeles County; California!!Estimate,"4,596"
Census Tract 1132.39; Los Angeles County; California!!Estimate,"2,134"
Census Tract 1133.01; Los Angeles County; California!!Estimate,"4,255"
Census Tract 1133.03; Los Angeles County; California!!Estimate,"3,799"
Census Tract 1133.22; Los Angeles County; California!!Estimate,"4,761"
Census Tract 1133.23; Los Angeles County; California!!Estimate,"3,904"
Census Tract 1133.24; Los Angeles County; California!!Estimate,"2,837"
Census Tract 1134.23; Los Angeles County; California!!Estimate,"2,845"
Census Tract 1134.24; Los Angeles County; California!!Estimate,"3,133"
Census Tract 1134.25; Los Angeles County; California!!Estimate,"4,254"
Census Tract 1134.26; Los Angeles County; California!!Estimate,"2,302"
Census Tract 1134.27; Los Angeles County; California!!Estimate,"2,386"
Census Tract 1134.28; Los Angeles County; California!!Estimate,"4,120"
Census Tract 1151.01; Los Angeles County; California!!Estimate,"5,034"
Census Tract 1151.03; Los Angeles County; California!!Estimate,"2,606"
Census Tract 1151.04; Los Angeles County; California!!Estimate,"4,404"
Census Tract 1152.02; Los Angeles County; California!!Estimate,"6,034"
Census Tract 1152.03; Los Angeles County; California!!Estimate,"1,929"
Census Tract 1152.04; Los Angeles County; California!!Estimate,"3,953"
Census Tract 1153.01; Los Angeles County; California!!Estimate,"4,438"
Census Tract 1153.02; Los Angeles County; California!!Estimate,"3,839"
Census Tract 1154.01; Los Angeles County; California!!Estimate,"5,637"
Census Tract 1154.03; Los Angeles County; California!!Estimate,"3,379"
Census Tract 1154.04; Los Angeles County; California!!Estimate,"2,619"
Census Tract 1171.01; Los Angeles County; California!!Estimate,"5,233"
Census Tract 1171.02; Los Angeles County; California!!Estimate,"2,427"
Census Tract 1172.01; Los Angeles County; California!!Estimate,"4,108"
Census Tract 1172.02; Los Angeles County; California!!Estimate,"2,818"
Census Tract 1173.01; Los Angeles County; California!!Estimate,"3,808"
Census Tract 1173.02; Los Angeles County; California!!Estimate,"4,950"
Census Tract 1173.03; Los Angeles County; California!!Estimate,"4,162"
Census Tract 1174.04; Los Angeles County; California!!Estimate,"5,216"
Census Tract 1174.05; Los Angeles County; California!!Estimate,"3,048"
Census Tract 1174.07; Los Angeles County; California!!Estimate,"3,185"
Census Tract 1174.08; Los Angeles County; California!!Estimate,"2,505"
Census Tract 1175.10; Los Angeles County; California!!Estimate,"3,790"
Census Tract 1175.20; Los Angeles County; California!!Estimate,"4,345"
