Census_Tract_Name,Total population
Census Tract 1863.02; Los Angeles County; California!!Estimate,"4,719"
Census Tract 1864.01; Los Angeles County; California!!Estimate,"2,948"
Census Tract 1864.03; Los Angeles County; California!!Estimate,"2,533"
Census Tract 1864.04; Los Angeles County; California!!Estimate,"2,528"
Census Tract 1871.01; Los Angeles County; California!!Estimate,"3,114"
Census Tract 1871.02; Los Angeles County; California!!Estimate,"4,494"
Census Tract 1872; Los Angeles County; California!!Estimate,"2,908"
Census Tract 1873; Los Angeles County; California!!Estimate,"3,820"
Census Tract 1881; Los Angeles County; California!!Estimate,"3,756"
Census Tract 1882.01; Los Angeles County; California!!Estimate,"2,839"
Census Tract 1882.02; Los Angeles County; California!!Estimate,"3,043"
Census Tract 1883; Los Angeles County; California!!Estimate,"3,228"
Census Tract 1891.01; Los Angeles County; California!!Estimate,"2,461"
Census Tract 1891.02; Los Angeles County; California!!Estimate,"3,797"
Census Tract 1892.01; Los Angeles County; California!!Estimate,"2,779"
Census Tract 1892.02; Los Angeles County; California!!Estimate,"3,167"
Census Tract 1893; Los Angeles County; California!!Estimate,"2,754"
Census Tract 1894; Los Angeles County; California!!Estimate,"3,011"
Census Tract 1895.01; Los Angeles County; California!!Estimate,"2,214"
Census Tract 1895.02; Los Angeles County; California!!Estimate,"1,842"
Census Tract 1896; Los Angeles County; California!!Estimate,"3,658"
Census Tract 1897.02; Los Angeles County; California!!Estimate,"2,393"
Census Tract 1897.03; Los Angeles County; California!!Estimate,"1,993"
Census Tract 1897.04; Los Angeles County; California!!Estimate,"2,099"
Census Tract 1898.01; Los Angeles County; California!!Estimate,"2,192"
Census Tract 1898.02; Los Angeles County; California!!Estimate,"1,979"
Census Tract 1899.03; Los Angeles County; California!!Estimate,"2,191"
Census Tract 1899.04; Los Angeles County; California!!Estimate,"2,432"
Census Tract 1899.05; Los Angeles County; California!!Estimate,"2,421"
Census Tract 1899.06; Los Angeles County; California!!Estimate,"2,491"
Census Tract 1899.07; Los Angeles County; California!!Estimate,"2,543"
Census Tract 1901.01; Los Angeles County; California!!Estimate,"1,599"
Census Tract 1901.02; Los Angeles County; California!!Estimate,"2,249"
Census Tract 1902.01; Los Angeles County; California!!Estimate,"3,673"
Census Tract 1902.02; Los Angeles County; California!!Estimate,"2,720"
Census Tract 1903.02; Los Angeles County; California!!Estimate,"2,711"
Census Tract 1903.03; Los Angeles County; California!!Estimate,"2,544"
Census Tract 1904.01; Los Angeles County; California!!Estimate,"2,784"
Census Tract 1904.02; Los Angeles County; California!!Estimate,"2,419"
Census Tract 1905.10; Los Angeles County; California!!Estimate,"3,884"
Census Tract 1905.20; Los Angeles County; California!!Estimate,"3,462"
Census Tract 1907.01; Los Angeles County; California!!Estimate,"1,643"
Census Tract 1907.02; Los Angeles County; California!!Estimate,"1,412"
Census Tract 1908.01; Los Angeles County; California!!Estimate,"3,073"
Census Tract 1908.02; Los Angeles County; California!!Estimate,"2,973"
Census Tract 1909.01; Los Angeles County; California!!Estimate,"3,420"
Census Tract 1909.02; Los Angeles County; California!!Estimate,"3,925"
Census Tract 1910; Los Angeles County; California!!Estimate,"5,335"
Census Tract 1911.10; Los Angeles County; California!!Estimate,"3,808"
Census Tract 1911.20; Los Angeles County; California!!Estimate,"3,776"
Census Tract 1912.01; Los Angeles County; California!!Estimate,"5,722"
Census Tract 1912.03; Los Angeles County; California!!Estimate,"2,010"
Census Tract 1912.04; Los Angeles County; California!!Estimate,"1,532"
Census Tract 1913.01; Los Angeles County; California!!Estimate,"2,077"
Census Tract 1913.02; Los Angeles County; California!!Estimate,"1,825"
Census Tract 1914.10; Los Angeles County; California!!Estimate,"3,363"
Census Tract 1914.20; Los Angeles County; California!!Estimate,"3,065"
Census Tract 1915; Los Angeles County; California!!Estimate,"5,491"
Census Tract 1916.10; Los Angeles County; California!!Estimate,"3,653"
Census Tract 1916.20; Los Angeles County; California!!Estimate,"2,773"
Census Tract 1917.10; Los Angeles County; California!!Estimate,"2,569"
Census Tract 1917.20; Los Angeles County; California!!Estimate,"3,408"
Census Tract 1918.10; Los Angeles County; California!!Estimate,"2,780"
Census Tract 1918.20; Los Angeles County; California!!Estimate,"3,777"
Census Tract 1919.01; Los Angeles County; California!!Estimate,"4,309"
Census Tract 1919.02; Los Angeles County; California!!Estimate,"2,813"
Census Tract 1920.01; Los Angeles County; California!!Estimate,"2,167"
Census Tract 1920.02; Los Angeles County; California!!Estimate,"2,611"
Census Tract 1923; Los Angeles County; California!!Estimate,"2,642"
Census Tract 1924.10; Los Angeles County; California!!Estimate,"4,285"
Census Tract 1924.20; Los Angeles County; California!!Estimate,"3,360"
Census Tract 1925.10; Los Angeles County; California!!Estimate,"3,991"
Census Tract 1925.20; Los Angeles County; California!!Estimate,"4,884"
Census Tract 1926.10; Los Angeles County; California!!Estimate,"4,106"
Census Tract 1926.20; Los Angeles County; California!!Estimate,"3,362"
Census Tract 1927; Los Angeles County; California!!Estimate,"3,070"
Census Tract 1941.01; Los Angeles County; California!!Estimate,"3,273"
Census Tract 1941.02; Los Angeles County; California!!Estimate,"2,504"
Census Tract 1942; Los Angeles County; California!!Estimate,"3,378"
Census Tract 1943; Los Angeles County; California!!Estimate,"2,887"
Census Tract 1944.01; Los Angeles County; California!!Estimate,"2,613"
Census Tract 1944.02; Los Angeles County; California!!Estimate,"3,071"
Census Tract 1945; Los Angeles County; California!!Estimate,"2,116"
Census Tract 1951; Los Angeles County; California!!Estimate,"4,976"
Census Tract 1952.01; Los Angeles County; California!!Estimate,"2,813"
Census Tract 1952.02; Los Angeles County; California!!Estimate,"3,349"
Census Tract 1953; Los Angeles County; California!!Estimate,"2,976"
Census Tract 1954; Los Angeles County; California!!Estimate,"4,348"
Census Tract 1955; Los Angeles County; California!!Estimate,"5,138"
Census Tract 1956; Los Angeles County; California!!Estimate,"2,821"
Census Tract 1957.10; Los Angeles County; California!!Estimate,"4,274"
Census Tract 1957.20; Los Angeles County; California!!Estimate,"1,694"
Census Tract 1958.02; Los Angeles County; California!!Estimate,"2,865"
Census Tract 1958.03; Los Angeles County; California!!Estimate,"2,328"
Census Tract 1958.04; Los Angeles County; California!!Estimate,"2,555"
Census Tract 1959.01; Los Angeles County; California!!Estimate,"2,566"
Census Tract 1959.02; Los Angeles County; California!!Estimate,"1,847"
Census Tract 1959.03; Los Angeles County; California!!Estimate,"1,970"
Census Tract 1972; Los Angeles County; California!!Estimate,"3,639"
Census Tract 1973; Los Angeles County; California!!Estimate,"3,734"
Census Tract 1974.10; Los Angeles County; California!!Estimate,"3,805"
Census Tract 1974.20; Los Angeles County; California!!Estimate,"3,621"
Census Tract 1975; Los Angeles County; California!!Estimate,"3,992"
Census Tract 1976; Los Angeles County; California!!Estimate,"2,080"
Census Tract 1977; Los Angeles County; California!!Estimate,"4,780"
Census Tract 1990.01; Los Angeles County; California!!Estimate,"2,307"
Census Tract 1990.02; Los Angeles County; California!!Estimate,"2,866"
Census Tract 1991.10; Los Angeles County; California!!Estimate,"2,369"
Census Tract 1991.20; Los Angeles County; California!!Estimate,"3,704"
Census Tract 1992.01; Los Angeles County; California!!Estimate,"3,592"
Census Tract 1992.02; Los Angeles County; California!!Estimate,"2,450"
Census Tract 1993; Los Angeles County; California!!Estimate,"3,839"
Census Tract 1994; Los Angeles County; California!!Estimate,"4,373"
Census Tract 1997; Los Angeles County; California!!Estimate,"2,936"
Census Tract 1998.01; Los Angeles County; California!!Estimate,"3,842"
Census Tract 1998.02; Los Angeles County; California!!Estimate,"1,975"
Census Tract 1999; Los Angeles County; California!!Estimate,"2,295"
Census Tract 2011.10; Los Angeles County; California!!Estimate,"2,279"
Census Tract 2011.20; Los Angeles County; California!!Estimate,"3,843"
Census Tract 2012; Los Angeles County; California!!Estimate,"2,677"
Census Tract 2013.01; Los Angeles County; California!!Estimate,"3,403"
Census Tract 2013.02; Los Angeles County; California!!Estimate,"4,083"
Census Tract 2014.01; Los Angeles County; California!!Estimate,"4,177"
Census Tract 2014.02; Los Angeles County; California!!Estimate,"4,113"
Census Tract 2015.01; Los Angeles County; California!!Estimate,"5,468"
Census Tract 2015.03; Los Angeles County; California!!Estimate,"3,133"
Census Tract 2015.04; Los Angeles County; California!!Estimate,"2,063"
Census Tract 2016.01; Los Angeles County; California!!Estimate,"2,310"
Census Tract 2016.02; Los Angeles County; California!!Estimate,"2,766"
Census Tract 2017; Los Angeles County; California!!Estimate,"5,128"
Census Tract 2031; Los Angeles County; California!!Estimate,"4,302"
Census Tract 2032; Los Angeles County; California!!Estimate,"4,995"
Census Tract 2033; Los Angeles County; California!!Estimate,"2,105"
Census Tract 2035; Los Angeles County; California!!Estimate,"2,831"
Census Tract 2036.01; Los Angeles County; California!!Estimate,"2,664"
Census Tract 2036.02; Los Angeles County; California!!Estimate,"1,964"
Census Tract 2037.10; Los Angeles County; California!!Estimate,"3,457"
Census Tract 2037.20; Los Angeles County; California!!Estimate,"3,556"
Census Tract 2038; Los Angeles County; California!!Estimate,"4,817"
Census Tract 2039; Los Angeles County; California!!Estimate,"2,839"
Census Tract 2041.10; Los Angeles County; California!!Estimate,"2,863"
Census Tract 2041.20; Los Angeles County; California!!Estimate,"2,480"
Census Tract 2042; Los Angeles County; California!!Estimate,"3,317"
Census Tract 2043; Los Angeles County; California!!Estimate,"4,873"
Census Tract 2044.10; Los Angeles County; California!!Estimate,"2,467"
Census Tract 2044.20; Los Angeles County; California!!Estimate,"3,101"
Census Tract 2046; Los Angeles County; California!!Estimate,"3,954"
Census Tract 2047; Los Angeles County; California!!Estimate,"4,524"
Census Tract 2048.10; Los Angeles County; California!!Estimate,"4,932"
Census Tract 2048.20; Los Angeles County; California!!Estimate,"2,066"
Census Tract 2049.10; Los Angeles County; California!!Estimate,"3,356"
Census Tract 2049.20; Los Angeles County; California!!Estimate,"2,459"
Census Tract 2051.10; Los Angeles County; California!!Estimate,"3,690"
Census Tract 2051.20; Los Angeles County; California!!Estimate,"3,409"
Census Tract 2060.10; Los Angeles County; California!!Estimate,"3,490"
Census Tract 2060.20; Los Angeles County; California!!Estimate,"8,179"
Census Tract 2060.50; Los Angeles County; California!!Estimate,"2,290"
Census Tract 2060.51; Los Angeles County; California!!Estimate,"1,535"
Census Tract 2060.52; Los Angeles County; California!!Estimate,"3,153"
Census Tract 2060.53; Los Angeles County; California!!Estimate,"3,057"
Census Tract 2060.54; Los Angeles County; California!!Estimate,"2,456"
Census Tract 2062.01; Los Angeles County; California!!Estimate,"2,127"
Census Tract 2062.02; Los Angeles County; California!!Estimate,"1,711"
Census Tract 2063.01; Los Angeles County; California!!Estimate,"1,991"
Census Tract 2063.02; Los Angeles County; California!!Estimate,"1,904"
Census Tract 2063.03; Los Angeles County; California!!Estimate,"2,430"
Census Tract 2071.01; Los Angeles County; California!!Estimate,"3,852"
Census Tract 2071.02; Los Angeles County; California!!Estimate,"3,340"
Census Tract 2071.03; Los Angeles County; California!!Estimate,"2,112"
Census Tract 2073.03; Los Angeles County; California!!Estimate,"2,359"
Census Tract 2073.04; Los Angeles County; California!!Estimate,"2,358"
Census Tract 2073.05; Los Angeles County; California!!Estimate,959
Census Tract 2073.06; Los Angeles County; California!!Estimate,"2,225"
Census Tract 2073.07; Los Angeles County; California!!Estimate,"1,439"
Census Tract 2073.08; Los Angeles County; California!!Estimate,"1,229"
Census Tract 2074; Los Angeles County; California!!Estimate,"2,273"
Census Tract 2075.01; Los Angeles County; California!!Estimate,"2,106"
Census Tract 2075.02; Los Angeles County; California!!Estimate,"3,906"
Census Tract 2077.11; Los Angeles County; California!!Estimate,"2,627"
Census Tract 2077.12; Los Angeles County; California!!Estimate,"4,927"
Census Tract 2079.01; Los Angeles County; California!!Estimate,"3,801"
Census Tract 2079.02; Los Angeles County; California!!Estimate,"7,354"
Census Tract 2080.01; Los Angeles County; California!!Estimate,"2,581"
Census Tract 2080.02; Los Angeles County; California!!Estimate,"4,041"
Census Tract 2083.01; Los Angeles County; California!!Estimate,"1,693"
Census Tract 2083.02; Los Angeles County; California!!Estimate,"4,715"
Census Tract 2084.01; Los Angeles County; California!!Estimate,"3,852"
Census Tract 2084.02; Los Angeles County; California!!Estimate,"2,516"
Census Tract 2085.01; Los Angeles County; California!!Estimate,"2,458"
Census Tract 2085.02; Los Angeles County; California!!Estimate,"3,801"
Census Tract 2086.10; Los Angeles County; California!!Estimate,"4,277"
Census Tract 2086.20; Los Angeles County; California!!Estimate,"4,000"
Census Tract 2087.10; Los Angeles County; California!!Estimate,"4,895"
Census Tract 2087.20; Los Angeles County; California!!Estimate,"3,406"
Census Tract 2088.01; Los Angeles County; California!!Estimate,"3,368"
Census Tract 2088.02; Los Angeles County; California!!Estimate,"2,772"
Census Tract 2089.02; Los Angeles County; California!!Estimate,"2,399"
Census Tract 2089.03; Los Angeles County; California!!Estimate,"3,819"
Census Tract 2089.04; Los Angeles County; California!!Estimate,"3,590"
Census Tract 2091.03; Los Angeles County; California!!Estimate,"3,226"
Census Tract 2091.04; Los Angeles County; California!!Estimate,"2,567"
Census Tract 2091.05; Los Angeles County; California!!Estimate,"3,153"
Census Tract 2091.06; Los Angeles County; California!!Estimate,"2,101"
Census Tract 2092.01; Los Angeles County; California!!Estimate,"3,298"
Census Tract 2092.02; Los Angeles County; California!!Estimate,"1,410"
Census Tract 2093; Los Angeles County; California!!Estimate,"4,934"
Census Tract 2094.01; Los Angeles County; California!!Estimate,"3,689"
Census Tract 2094.02; Los Angeles County; California!!Estimate,"4,102"
Census Tract 2094.03; Los Angeles County; California!!Estimate,"4,721"
Census Tract 2095.10; Los Angeles County; California!!Estimate,"2,656"
Census Tract 2095.20; Los Angeles County; California!!Estimate,"2,373"
Census Tract 2098.10; Los Angeles County; California!!Estimate,"2,678"
Census Tract 2098.20; Los Angeles County; California!!Estimate,"2,498"
Census Tract 2100.10; Los Angeles County; California!!Estimate,"3,192"
Census Tract 2110; Los Angeles County; California!!Estimate,"5,313"
Census Tract 2111.21; Los Angeles County; California!!Estimate,"2,318"
Census Tract 2111.22; Los Angeles County; California!!Estimate,"2,645"
Census Tract 2111.23; Los Angeles County; California!!Estimate,"1,816"
Census Tract 2111.24; Los Angeles County; California!!Estimate,"4,287"
Census Tract 2112.01; Los Angeles County; California!!Estimate,"2,694"
Census Tract 2112.02; Los Angeles County; California!!Estimate,"2,254"
Census Tract 2113.10; Los Angeles County; California!!Estimate,"3,484"
Census Tract 2113.20; Los Angeles County; California!!Estimate,"3,253"
Census Tract 2114.10; Los Angeles County; California!!Estimate,"2,913"
Census Tract 2114.20; Los Angeles County; California!!Estimate,"3,495"
Census Tract 2115; Los Angeles County; California!!Estimate,"3,857"
Census Tract 2117.01; Los Angeles County; California!!Estimate,"2,781"
Census Tract 2117.03; Los Angeles County; California!!Estimate,"4,564"
Census Tract 2117.04; Los Angeles County; California!!Estimate,"2,668"
Census Tract 2118.02; Los Angeles County; California!!Estimate,"4,448"
Census Tract 2118.03; Los Angeles County; California!!Estimate,"3,635"
Census Tract 2118.04; Los Angeles County; California!!Estimate,"3,194"
Census Tract 2119.10; Los Angeles County; California!!Estimate,"3,951"
Census Tract 2119.21; Los Angeles County; California!!Estimate,"2,001"
Census Tract 2119.22; Los Angeles County; California!!Estimate,"3,353"
Census Tract 2121.01; Los Angeles County; California!!Estimate,"2,741"
Census Tract 2121.02; Los Angeles County; California!!Estimate,"2,955"
Census Tract 2122.02; Los Angeles County; California!!Estimate,"3,676"
Census Tract 2122.03; Los Angeles County; California!!Estimate,"2,946"
Census Tract 2122.04; Los Angeles County; California!!Estimate,"3,720"
Census Tract 2123.03; Los Angeles County; California!!Estimate,"3,838"
Census Tract 2123.04; Los Angeles County; California!!Estimate,"1,781"
Census Tract 2123.05; Los Angeles County; California!!Estimate,"2,711"
Census Tract 2123.06; Los Angeles County; California!!Estimate,"2,816"
Census Tract 2124.10; Los Angeles County; California!!Estimate,"4,226"
Census Tract 2124.20; Los Angeles County; California!!Estimate,"2,661"
Census Tract 2125.01; Los Angeles County; California!!Estimate,"1,890"
Census Tract 2125.02; Los Angeles County; California!!Estimate,"3,282"
Census Tract 2126.10; Los Angeles County; California!!Estimate,"4,211"
Census Tract 2126.20; Los Angeles County; California!!Estimate,"3,818"
Census Tract 2127.01; Los Angeles County; California!!Estimate,"2,317"
Census Tract 2127.02; Los Angeles County; California!!Estimate,"3,389"
Census Tract 2128; Los Angeles County; California!!Estimate,"3,386"
Census Tract 2129; Los Angeles County; California!!Estimate,"3,684"
Census Tract 2131; Los Angeles County; California!!Estimate,"2,790"
Census Tract 2132.01; Los Angeles County; California!!Estimate,"4,079"
Census Tract 2132.02; Los Angeles County; California!!Estimate,"3,675"
Census Tract 2133.10; Los Angeles County; California!!Estimate,"2,519"
Census Tract 2133.20; Los Angeles County; California!!Estimate,"2,471"
Census Tract 2134.01; Los Angeles County; California!!Estimate,"4,573"
Census Tract 2134.02; Los Angeles County; California!!Estimate,"4,477"
Census Tract 2140; Los Angeles County; California!!Estimate,"3,950"
Census Tract 2141; Los Angeles County; California!!Estimate,"3,787"
Census Tract 2144; Los Angeles County; California!!Estimate,"3,008"
Census Tract 2145.01; Los Angeles County; California!!Estimate,"3,477"
Census Tract 2145.03; Los Angeles County; California!!Estimate,"3,513"
Census Tract 2145.04; Los Angeles County; California!!Estimate,"3,609"
Census Tract 2145.05; Los Angeles County; California!!Estimate,"1,581"
Census Tract 2146; Los Angeles County; California!!Estimate,"2,266"
Census Tract 2147; Los Angeles County; California!!Estimate,"2,517"
Census Tract 2148; Los Angeles County; California!!Estimate,"2,880"
Census Tract 2149.02; Los Angeles County; California!!Estimate,"2,569"
Census Tract 2149.03; Los Angeles County; California!!Estimate,"1,568"
Census Tract 2149.04; Los Angeles County; California!!Estimate,"1,459"
Census Tract 2151.01; Los Angeles County; California!!Estimate,"3,024"
Census Tract 2151.02; Los Angeles County; California!!Estimate,"3,322"
Census Tract 2161; Los Angeles County; California!!Estimate,"2,393"
Census Tract 2162.01; Los Angeles County; California!!Estimate,"2,591"
Census Tract 2162.02; Los Angeles County; California!!Estimate,"2,525"
Census Tract 2163.01; Los Angeles County; California!!Estimate,"1,414"
Census Tract 2163.02; Los Angeles County; California!!Estimate,"3,158"
Census Tract 2164.01; Los Angeles County; California!!Estimate,"3,660"
Census Tract 2164.02; Los Angeles County; California!!Estimate,"2,663"
Census Tract 2167; Los Angeles County; California!!Estimate,"3,441"
Census Tract 2168; Los Angeles County; California!!Estimate,"3,333"
Census Tract 2169.01; Los Angeles County; California!!Estimate,"2,799"
Census Tract 2169.02; Los Angeles County; California!!Estimate,"2,201"
Census Tract 2170.01; Los Angeles County; California!!Estimate,"2,777"
Census Tract 2170.02; Los Angeles County; California!!Estimate,"4,952"
Census Tract 2171.01; Los Angeles County; California!!Estimate,"2,674"
Census Tract 2171.02; Los Angeles County; California!!Estimate,"2,773"
Census Tract 2172; Los Angeles County; California!!Estimate,"3,976"
Census Tract 2181.10; Los Angeles County; California!!Estimate,"3,167"
Census Tract 2181.20; Los Angeles County; California!!Estimate,"3,571"
Census Tract 2182.10; Los Angeles County; California!!Estimate,"4,124"
Census Tract 2182.20; Los Angeles County; California!!Estimate,"4,042"
Census Tract 2183; Los Angeles County; California!!Estimate,"4,811"
Census Tract 2184; Los Angeles County; California!!Estimate,"3,996"
Census Tract 2185; Los Angeles County; California!!Estimate,"2,739"
Census Tract 2186; Los Angeles County; California!!Estimate,"3,129"
Census Tract 2187.01; Los Angeles County; California!!Estimate,"1,880"
Census Tract 2187.02; Los Angeles County; California!!Estimate,"2,705"
Census Tract 2188; Los Angeles County; California!!Estimate,"2,732"
Census Tract 2189; Los Angeles County; California!!Estimate,"5,444"
Census Tract 2190.10; Los Angeles County; California!!Estimate,"3,214"
Census Tract 2190.20; Los Angeles County; California!!Estimate,"4,326"
Census Tract 2193; Los Angeles County; California!!Estimate,"3,772"
Census Tract 2195; Los Angeles County; California!!Estimate,"1,965"
Census Tract 2197; Los Angeles County; California!!Estimate,"4,198"
Census Tract 2198; Los Angeles County; California!!Estimate,"3,033"
Census Tract 2199.01; Los Angeles County; California!!Estimate,"5,206"
Census Tract 2199.02; Los Angeles County; California!!Estimate,"3,509"
Census Tract 2200; Los Angeles County; California!!Estimate,"4,505"
Census Tract 2201; Los Angeles County; California!!Estimate,"2,463"
Census Tract 2211.10; Los Angeles County; California!!Estimate,"3,037"
Census Tract 2211.20; Los Angeles County; California!!Estimate,"2,946"
Census Tract 2212.10; Los Angeles County; California!!Estimate,"2,945"
Census Tract 2212.20; Los Angeles County; California!!Estimate,"2,752"
Census Tract 2213.02; Los Angeles County; California!!Estimate,"3,259"
Census Tract 2213.03; Los Angeles County; California!!Estimate,"2,531"
Census Tract 2213.04; Los Angeles County; California!!Estimate,"3,707"
Census Tract 2214.01; Los Angeles County; California!!Estimate,"2,965"
Census Tract 2214.02; Los Angeles County; California!!Estimate,"2,965"
Census Tract 2215; Los Angeles County; California!!Estimate,"3,527"
Census Tract 2216.01; Los Angeles County; California!!Estimate,"3,264"
Census Tract 2216.02; Los Angeles County; California!!Estimate,"2,223"
Census Tract 2217.10; Los Angeles County; California!!Estimate,"2,658"
Census Tract 2218.10; Los Angeles County; California!!Estimate,"2,433"
Census Tract 2218.20; Los Angeles County; California!!Estimate,"2,529"
Census Tract 2219; Los Angeles County; California!!Estimate,"4,572"
Census Tract 2220.01; Los Angeles County; California!!Estimate,"2,837"
Census Tract 2220.02; Los Angeles County; California!!Estimate,"4,719"
Census Tract 2221; Los Angeles County; California!!Estimate,"4,086"
Census Tract 2222; Los Angeles County; California!!Estimate,"3,642"
Census Tract 2225; Los Angeles County; California!!Estimate,"4,194"
Census Tract 2226; Los Angeles County; California!!Estimate,"5,268"
Census Tract 2227; Los Angeles County; California!!Estimate,"4,316"
Census Tract 2240.10; Los Angeles County; California!!Estimate,"2,974"
Census Tract 2240.20; Los Angeles County; California!!Estimate,"2,816"
Census Tract 2242; Los Angeles County; California!!Estimate,"2,174"
Census Tract 2243.10; Los Angeles County; California!!Estimate,"1,779"
Census Tract 2243.20; Los Angeles County; California!!Estimate,"3,593"
Census Tract 2244.10; Los Angeles County; California!!Estimate,"2,783"
Census Tract 2244.20; Los Angeles County; California!!Estimate,"2,168"
Census Tract 2246; Los Angeles County; California!!Estimate,"3,078"
Census Tract 2247.01; Los Angeles County; California!!Estimate,"2,463"
Census Tract 2247.02; Los Angeles County; California!!Estimate,"2,508"
Census Tract 2260.01; Los Angeles County; California!!Estimate,"2,027"
Census Tract 2260.02; Los Angeles County; California!!Estimate,"1,873"
Census Tract 2264.10; Los Angeles County; California!!Estimate,"3,561"
Census Tract 2264.20; Los Angeles County; California!!Estimate,"5,225"
Census Tract 2267.01; Los Angeles County; California!!Estimate,"2,518"
Census Tract 2267.02; Los Angeles County; California!!Estimate,"3,993"
Census Tract 2270.10; Los Angeles County; California!!Estimate,"4,279"
Census Tract 2270.20; Los Angeles County; California!!Estimate,"3,506"
Census Tract 2281; Los Angeles County; California!!Estimate,"4,392"
Census Tract 2282.10; Los Angeles County; California!!Estimate,"3,801"
Census Tract 2282.20; Los Angeles County; California!!Estimate,"4,470"
Census Tract 2283.10; Los Angeles County; California!!Estimate,"4,493"
Census Tract 2283.20; Los Angeles County; California!!Estimate,"3,420"
Census Tract 2284.10; Los Angeles County; California!!Estimate,"3,096"
Census Tract 2284.20; Los Angeles County; California!!Estimate,"2,893"
Census Tract 2285; Los Angeles County; California!!Estimate,"4,836"
Census Tract 2286; Los Angeles County; California!!Estimate,"4,734"
Census Tract 2287.10; Los Angeles County; California!!Estimate,"4,104"
Census Tract 2287.20; Los Angeles County; California!!Estimate,"4,909"
Census Tract 2288; Los Angeles County; California!!Estimate,"5,375"
Census Tract 2289; Los Angeles County; California!!Estimate,"3,187"
Census Tract 2291; Los Angeles County; California!!Estimate,"4,572"
Census Tract 2292; Los Angeles County; California!!Estimate,"4,550"
Census Tract 2293; Los Angeles County; California!!Estimate,"5,742"
Census Tract 2294.10; Los Angeles County; California!!Estimate,"3,897"
Census Tract 2294.20; Los Angeles County; California!!Estimate,"4,611"
Census Tract 2311; Los Angeles County; California!!Estimate,"3,407"
Census Tract 2312.10; Los Angeles County; California!!Estimate,"4,261"
Census Tract 2312.20; Los Angeles County; California!!Estimate,"4,143"
Census Tract 2313.01; Los Angeles County; California!!Estimate,"2,570"
Census Tract 2313.02; Los Angeles County; California!!Estimate,"2,890"
Census Tract 2314; Los Angeles County; California!!Estimate,"4,480"
Census Tract 2315; Los Angeles County; California!!Estimate,"5,048"
Census Tract 2316.01; Los Angeles County; California!!Estimate,"2,230"
Census Tract 2316.02; Los Angeles County; California!!Estimate,"1,870"
Census Tract 2316.03; Los Angeles County; California!!Estimate,"2,895"
Census Tract 2317.10; Los Angeles County; California!!Estimate,"4,026"
Census Tract 2317.20; Los Angeles County; California!!Estimate,"5,174"
Census Tract 2318; Los Angeles County; California!!Estimate,"5,469"
Census Tract 2319.01; Los Angeles County; California!!Estimate,"3,440"
Census Tract 2319.02; Los Angeles County; California!!Estimate,"3,207"
Census Tract 2321.10; Los Angeles County; California!!Estimate,"3,491"
Census Tract 2321.20; Los Angeles County; California!!Estimate,"4,935"
Census Tract 2322; Los Angeles County; California!!Estimate,"3,765"
Census Tract 2323; Los Angeles County; California!!Estimate,"4,766"
Census Tract 2324.01; Los Angeles County; California!!Estimate,"3,582"
Census Tract 2324.02; Los Angeles County; California!!Estimate,"3,098"
Census Tract 2325; Los Angeles County; California!!Estimate,"5,422"
Census Tract 2326.01; Los Angeles County; California!!Estimate,"1,688"
Census Tract 2326.02; Los Angeles County; California!!Estimate,"5,524"
Census Tract 2327.01; Los Angeles County; California!!Estimate,"2,348"
Census Tract 2327.02; Los Angeles County; California!!Estimate,"4,414"
Census Tract 2328; Los Angeles County; California!!Estimate,"4,184"
Census Tract 2340.01; Los Angeles County; California!!Estimate,"2,517"
Census Tract 2340.02; Los Angeles County; California!!Estimate,"2,896"
Census Tract 2342; Los Angeles County; California!!Estimate,"2,605"
Census Tract 2343.01; Los Angeles County; California!!Estimate,"1,779"
Census Tract 2343.02; Los Angeles County; California!!Estimate,"2,459"
Census Tract 2345.01; Los Angeles County; California!!Estimate,"2,770"
Census Tract 2345.02; Los Angeles County; California!!Estimate,"2,601"
Census Tract 2346; Los Angeles County; California!!Estimate,"4,694"
Census Tract 2347; Los Angeles County; California!!Estimate,"3,838"
Census Tract 2348; Los Angeles County; California!!Estimate,"3,534"
Census Tract 2349.01; Los Angeles County; California!!Estimate,"2,916"
Census Tract 2349.02; Los Angeles County; California!!Estimate,"4,535"
Census Tract 2351; Los Angeles County; California!!Estimate,"4,032"
Census Tract 2352.01; Los Angeles County; California!!Estimate,"2,880"
Census Tract 2352.02; Los Angeles County; California!!Estimate,"3,887"
Census Tract 2360.01; Los Angeles County; California!!Estimate,"4,063"
Census Tract 2361.01; Los Angeles County; California!!Estimate,"2,606"
Census Tract 2361.02; Los Angeles County; California!!Estimate,"3,510"
Census Tract 2362.03; Los Angeles County; California!!Estimate,"3,615"
Census Tract 2362.04; Los Angeles County; California!!Estimate,"3,387"
Census Tract 2362.05; Los Angeles County; California!!Estimate,"3,070"
Census Tract 2362.06; Los Angeles County; California!!Estimate,"3,175"
Census Tract 2364; Los Angeles County; California!!Estimate,"4,390"
Census Tract 2371.01; Los Angeles County; California!!Estimate,"4,136"
Census Tract 2371.02; Los Angeles County; California!!Estimate,"3,970"
Census Tract 2372.01; Los Angeles County; California!!Estimate,"3,766"
Census Tract 2372.02; Los Angeles County; California!!Estimate,"4,404"
Census Tract 2373; Los Angeles County; California!!Estimate,"5,762"
Census Tract 2374.01; Los Angeles County; California!!Estimate,"3,906"
Census Tract 2374.02; Los Angeles County; California!!Estimate,"3,618"
