Census_Tract_Name,Total population
5440.01,3968
5440.02,3835
5501.01,3958
5502.01,2923
5502.02,5095
5503.01,4309
5505.01,3864
5505.02,4141
5506.01,5993
5506.02,3830
5507,6803
5508.01,4773
5508.02,1938
5509.01,4742
5509.02,5570
5510.01,3237
5510.02,4346
5511.01,3950
5511.02,5551
5512.01,3541
5512.03,4111
5512.04,3465
5513,5670
5514.01,4011
5514.02,5067
5515.01,4713
5515.02,4517
5517,6286
5518.01,3315
5518.02,3803
5519,5324
5520.01,3853
5520.02,3391
5521,5405
5522,6115
5523.01,4548
5523.02,4024
5524,2318
5526.01,5187
5526.02,3520
5527,6593
5528,6332
5529,6565
5530,5107
5531,6255
5532.01,3708
5532.02,3459
5533,3829
5534,3472
5535.02,3629
5535.03,3013
5535.04,4626
5536.01,4518
5536.02,5026
5537.01,3925
5537.02,4614
5538.01,4124
5538.02,6654
5539.01,6492
5539.02,5925
5540.01,4342
5540.02,5739
5541.01,3540
5541.05,4280
5541.06,3943
5542.01,3521
5542.03,3914
5542.04,4821
5543.01,3418
5543.02,4268
5544.03,5592
5544.04,4423
5544.05,3573
5544.06,4771
5545.11,3746
5545.12,6428
5545.13,2473
5545.14,4564
5545.15,3328
5545.16,3632
5545.17,4774
5545.18,5042
5545.19,3243
5545.21,6125
5545.22,4985
5546,3968
5547,4170
5548.01,2884
5548.02,5920
5549,7240
5550.01,5359
5550.02,3808
5551.05,6136
5551.06,2698
5551.07,5422
5552.02,3689
5552.11,5509
5552.12,5609
5553,4819
5700.01,4746
5700.02,2523
5700.03,3836
5701,2966
5702.02,6850
5702.03,3926
5702.04,4557
5703.03,4052
5703.04,4881
5703.05,4896
5703.06,2963
5704.02,3353
5704.03,3865
5704.04,4005
5705.02,6184
5705.03,3752
5705.04,3210
5706.01,5893
5706.02,5639
5706.03,5566
5707.01,7372
5707.03,2952
5708,5313
5709.01,5661
5709.02,3385
5710,5598
5711.01,5034
5711.02,3617
5712.01,3819
5712.02,3903
5713,4818
5714,4987
5715.02,5096
5715.04,5045
5715.05,2889
5716,2182
5717.01,6239
5717.03,3430
5717.04,3817
5718,3240
5719,5971
5720.01,6254
5722.01,5629
5722.02,3372
5723.01,3809
5725,3700
5726,5005
5727,5290
5730.02,3288
5730.03,1723
5730.04,4878
5731.01,4531
5731.02,2891
5732.01,3844
5732.02,6678
5733,3840
5734.01,1505
5734.02,7000
5734.03,3058
5736.01,6353
5737,5423
5738,4155
5739.02,2212
5740,5108
5741,5151
5742.01,3265
5742.02,2229
5743,6677
5744,5555
5745,6744
5746.02,1267
5748,3182
5749.01,3949
5749.02,5507
5750.01,4225
5750.02,4554
5751.01,4279
5751.02,4250
5751.03,5107
5752.01,4335
5752.02,4177
5753,4064
5754.01,4259
5754.02,3750
5758.01,2241
5758.02,4450
5758.03,2527
5759.01,3530
5759.02,4869
5760.01,6005
5762,5190
5763.01,4756
5763.02,2986
5764.01,3933
5764.02,4256
5764.03,4814
5765.01,2805
5765.02,4997
5765.03,3919
5766.01,4193
5766.02,4601
5767,4163
5768.01,3760
5768.02,4426
5769.01,5152
5769.03,4018
5769.04,3098
5770,6993
5771,7452
5772,5893
5773,5935
5774,2807
5775.01,3333
5775.04,1372
5776.02,3229
5776.04,1655
5776.05,4661
5776.06,3875
5777,4681
5778,4666
5779,5598
5780,5360
5781,2249
5990,3258
5991,723
6001,7184
6002.01,5151
6002.02,6923
6003.02,2701
6003.03,4178
6003.04,3946
6004,4208
6005.01,2510
6006.01,2594
6006.02,2693
6007.02,4638
6007.03,1623
6007.04,3027
6008.01,2866
6008.02,2458
6009.02,6382
6009.11,3542
6009.12,4813
6010.01,2160
6010.02,5022
6011,7199
6012.02,3845
6012.11,2996
6012.12,5054
6013.01,1888
6013.02,6513
6013.03,5465
6014.01,6594
6014.02,4450
6015.01,3640
6015.02,3423
6016,4067
6017,5263
6018.01,3049
6018.02,3454
6019,4452
6020.02,3036
6020.03,4220
6021.03,5476
6021.04,5646
6021.05,3880
6021.06,6197
6022.01,4494
6022.02,2882
6023.01,6878
6023.02,4796
6024.02,7194
6024.03,4266
6024.04,5932
6025.04,4849
6025.05,4704
6025.06,4012
6025.07,4678
6025.10,4004
6025.11,4229
6025.12,1889
6025.13,1428
6026.01,4989
6026.02,2659
6027,3545
6028.01,4200
6028.02,4438
6029,4256
6030.04,1797
6030.05,6471
6030.06,1970
6030.07,3471
6030.08,3833
6031.01,4878
6031.02,3412
6032,3340
6033.01,3441
6033.02,4281
6034,3846
6035,2934
6036,4187
6037.02,4776
6037.03,2589
6037.05,2637
6037.06,3550
6038.01,4874
6038.02,4020
6039.01,3807
6039.02,3486
6040.01,4617
6040.02,3783
6041.01,3875
6041.02,2651
6042,5837
6099,1731
6200.01,4209
6200.02,3408
6201.01,5411
6201.02,3835
6202.01,1548
6203.01,4223
6203.03,4653
6203.05,6038
6204,5218
6205.01,5808
6205.21,4586
6205.22,4616
6206.01,6165
6206.02,5846
6207.01,7125
6207.03,3637
6207.04,3817
6208.01,3966
6208.02,3479
6209.01,2677
6209.04,2782
6210.01,4552
6210.05,4749
6211.02,3390
6211.04,6557
6212.01,7095
6212.04,2729
6213.01,7177
6213.24,3497
6213.26,3098
6214,4618
6500.01,6024
6500.03,3032
6500.04,4386
6501.01,5080
6501.02,2166
6502,5921
6503,7894
6504.01,4473
6505.01,2779
6505.02,4214
6506.03,3742
6506.04,5393
6506.05,2762
6506.06,4217
6506.07,2680
6507.01,2555
6507.02,4605
6508.01,3864
6508.02,3629
6509.01,4963
6509.03,4701
6509.04,2457
6510.01,5272
6510.02,4797
6511.01,4678
6511.02,4059
6512.01,4621
6512.21,3614
6512.22,6221
6513.02,5816
6513.04,5015
6514.01,2418
6514.02,5451
6700.01,3479
6700.02,3259
6700.03,6008
6701.01,3663
6701.02,4000
6702.01,3647
6702.02,2559
6703.24,5485
6703.26,3237
6703.28,4325
6704.05,2711
6704.06,1712
6704.07,5849
6704.13,4814
6704.16,4101
6704.17,2780
6704.18,4438
6705,1511
6706.03,1856
6706.04,4953
6707.01,6486
6707.02,5891
7001.01,5536
7001.02,4505
7002,6694
7003,5541
7004,4486
7005.01,4190
7005.02,4138
7006,5117
7007,3121
7008.01,4072
7008.02,4015
7009.01,4072
7009.02,6483
7010,5075
7012.01,3699
7012.02,3314
7013.02,4645
7013.04,5930
7014.02,7371
7015.01,4842
7015.02,3788
7016.01,4112
7016.02,4507
7017.01,3303
7017.02,3102
7018.01,5971
7018.02,5048
7019.02,5484
7020.02,6037
7021.02,5641
7022.01,3996
7022.02,3937
7023,6801
7024,4758
7025.01,4727
7025.02,4280
7026,6053
7027,3349
7028.01,5564
7028.02,2266
7028.03,2941
7029,8844
7030.02,7434
7030.03,6055
7031,6069
7032,5675
8001.01,5715
8001.03,3682
8001.04,3921
8002.02,5943
8002.04,4162
8002.05,4003
8002.06,3590
8003.24,6421
8003.25,3703
8003.28,1267
8003.33,2188
8003.34,3502
8003.35,4296
8003.36,3947
8003.37,3419
8003.38,6411
8004.06,1948
8004.10,3647
8004.11,2475
8004.12,3688
8005.04,2024
8005.06,3037
9001.02,633
9001.03,6581
9001.04,6910
9003.01,4678
9005.01,7963
9005.04,6592
9005.05,4404
9005.06,5072
9005.08,3716
9005.09,4527
9005.10,4043
9006.02,5449
9006.06,4676
9006.07,4953
9006.08,3930
9006.09,5163
9006.10,3313
9006.11,4435
9007.01,4844
9007.03,5172
9007.04,3395
9007.05,4011
9008.04,3558
9008.05,5956
9008.06,4342
9008.07,4197
9008.08,5047
9009.01,3252
9009.02,1388
9010.03,3394
9010.07,2104
9010.08,3268
9010.09,5874
9010.10,5502
9010.11,4859
9010.12,6365
9010.13,3378
9010.14,5054
9011.01,5689
9011.02,5412
9012.09,951
9012.10,1637
9012.14,4927
9012.15,3596
9012.16,2602
9012.17,1536
9012.18,2404
9013,1862
9100.02,7197
9102.10,7166
9102.11,1751
9102.12,3322
9102.13,1464
9102.14,5593
9102.15,6943
9102.16,5164
9102.17,5678
9102.18,4263
9103.01,4413
9103.02,6396
9104.01,5995
9104.04,4405
9104.05,5851
9105.01,5719
9105.02,4301
9105.04,4032
9105.05,3172
9106.01,6495
9106.02,4670
9106.05,5113
9106.06,3239
9106.07,4225
9106.08,4023
9107.06,6824
9107.07,5192
9107.09,1712
9107.12,3251
9107.13,7157
9107.14,4052
9107.15,7006
9107.16,6277
9107.17,2277
9107.18,5536
9107.19,4546
9107.20,5320
9107.21,3823
9108.04,3060
9108.07,5954
9108.08,3918
9108.09,2297
9108.10,2849
9108.14,3108
9108.15,5152
9110.01,3546
9111,7331
9200.13,7870
9200.15,6383
9200.16,5004
9200.17,4261
9200.18,2058
9200.20,5993
9200.28,8740
9200.29,3741
9200.30,5754
9200.31,6117
9200.34,4318
9200.35,8980
9200.38,3098
9200.39,1615
9200.40,3270
9200.41,3072
9200.42,6840
9200.43,8603
9200.44,2626
9200.45,4441
9200.46,3605
9200.47,7009
9200.48,5502
9200.49,6133
9200.50,1024
9201.02,4734
9201.04,2897
9201.06,3576
9201.09,4646
9201.10,2891
9201.11,3065
9201.12,3927
9201.14,5358
9201.15,4048
9201.16,4949
9201.18,6248
9201.19,1813
9201.20,4045
9201.21,10967
9202,4186
9203.03,1564
9203.12,6398
9203.13,5021
9203.14,3158
9203.22,2597
9203.26,7191
9203.28,1967
9203.29,6169
9203.30,3454
9203.31,3564
9203.32,2062
9203.34,5943
9203.38,5749
9203.39,8917
9203.40,2830
9203.41,3004
9203.42,3131
9203.43,4087
9304,1309
9800.01,0
9800.02,0
9800.03,0
9800.04,0
9800.05,0
9800.06,0
9800.07,0
9800.08,73
9800.09,5
9800.10,143
9800.11,101
9800.12,20
9800.13,0
9800.14,40
9800.15,1111
9800.16,371
9800.17,1362
9800.18,0
9800.19,75
9800.20,0
9800.21,16
9800.22,0
9800.23,47
9800.24,205
9800.25,442
9800.26,15
9800.28,0
9800.30,0
9800.31,970
9800.33,14
9800.34,0
9800.35,642
9800.36,606
9800.37,0
9800.38,0
9800.39,0
9901,0
9902,0
9903,0
