Census_Tract_Name,Total population
1851.01,2408
1851.02,3503
1852.02,4099
1852.03,2497
1852.04,1888
1853.10,2871
1853.20,2871
1861,4633
1862.01,3374
1862.02,1808
1862.03,2753
1863.01,2729
1863.02,4719
1864.01,2948
1864.03,2533
1864.04,2528
1871.01,3114
1871.02,4494
1872,2908
1873,3820
1881,3756
1882.01,2839
1882.02,3043
1883,3228
1891.01,2461
1891.02,3797
1892.01,2779
1892.02,3167
1893,2754
1894,3011
1895.01,2214
1895.02,1842
1896,3658
1897.02,2393
1897.03,1993
1897.04,2099
1898.01,2192
1898.02,1979
1899.03,2191
1899.04,2432
1899.05,2421
1899.06,2491
1899.07,2543
1901.01,1599
1901.02,2249
1902.01,3673
1902.02,2720
1903.02,2711
1903.03,2544
1904.01,2784
1904.02,2419
1905.10,3884
1905.20,3462
1907.01,1643
1907.02,1412
1908.01,3073
1908.02,2973
1909.01,3420
1909.02,3925
1910,5335
1911.10,3808
1911.20,3776
1912.01,5722
1912.03,2010
1912.04,1532
1913.01,2077
1913.02,1825
1914.10,3363
1914.20,3065
1915,5491
1916.10,3653
1916.20,2773
1917.10,2569
1917.20,3408
1918.10,2780
1918.20,3777
1919.01,4309
1919.02,2813
1920.01,2167
1920.02,2611
1923,2642
1924.10,4285
1924.20,3360
1925.10,3991
1925.20,4884
1926.10,4106
1926.20,3362
1927,3070
1941.01,3273
1941.02,2504
1942,3378
1943,2887
1944.01,2613
1944.02,3071
1945,2116
1951,4976
1952.01,2813
1952.02,3349
1953,2976
1954,4348
1955,5138
1956,2821
1957.10,4274
1957.20,1694
1958.02,2865
1958.03,2328
1958.04,2555
1959.01,2566
1959.02,1847
1959.03,1970
1972,3639
1973,3734
1974.10,3805
1974.20,3621
1975,3992
1976,2080
1977,4780
1990.01,2307
1990.02,2866
1991.10,2369
1991.20,3704
1992.01,3592
1992.02,2450
1993,3839
1994,4373
1997,2936
1998.01,3842
1998.02,1975
1999,2295
2011.10,2279
2011.20,3843
2012,2677
2013.01,3403
2013.02,4083
2014.01,4177
2014.02,4113
2015.01,5468
2015.03,3133
2015.04,2063
2016.01,2310
2016.02,2766
2017,5128
2031,4302
2032,4995
2033,2105
2035,2831
2036.01,2664
2036.02,1964
2037.10,3457
2037.20,3556
2038,4817
2039,2839
2041.10,2863
2041.20,2480
2042,3317
2043,4873
2044.10,2467
2044.20,3101
2046,3954
2047,4524
2048.10,4932
2048.20,2066
2049.10,3356
2049.20,2459
2051.10,3690
2051.20,3409
2060.10,3490
2060.20,8179
2060.50,2290
2060.51,1535
2060.52,3153
2060.53,3057
2060.54,2456
2062.01,2127
2062.02,1711
2063.01,1991
2063.02,1904
2063.03,2430
2071.01,3852
2071.02,3340
2071.03,2112
2073.03,2359
2073.04,2358
2073.05,959
2073.06,2225
2073.07,1439
2073.08,1229
2074,2273
2075.01,2106
2075.02,3906
2077.11,2627
2077.12,4927
2079.01,3801
2079.02,7354
2080.01,2581
2080.02,4041
2083.01,1693
2083.02,4715
2084.01,3852
2084.02,2516
2085.01,2458
2085.02,3801
2086.10,4277
2086.20,4000
2087.10,4895
2087.20,3406
2088.01,3368
2088.02,2772
2089.02,2399
2089.03,3819
2089.04,3590
2091.03,3226
2091.04,2567
2091.05,3153
2091.06,2101
2092.01,3298
2092.02,1410
2093,4934
2094.01,3689
2094.02,4102
2094.03,4721
2095.10,2656
2095.20,2373
2098.10,2678
2098.20,2498
2100.10,3192
2110,5313
2111.21,2318
2111.22,2645
2111.23,1816
2111.24,4287
2112.01,2694
2112.02,2254
2113.10,3484
2113.20,3253
2114.10,2913
2114.20,3495
2115,3857
2117.01,2781
2117.03,4564
2117.04,2668
2118.02,4448
2118.03,3635
2118.04,3194
2119.10,3951
2119.21,2001
2119.22,3353
2121.01,2741
2121.02,2955
2122.02,3676
2122.03,2946
2122.04,3720
2123.03,3838
2123.04,1781
2123.05,2711
2123.06,2816
2124.10,4226
2124.20,2661
2125.01,1890
2125.02,3282
2126.10,4211
2126.20,3818
2127.01,2317
2127.02,3389
2128,3386
2129,3684
2131,2790
2132.01,4079
2132.02,3675
2133.10,2519
2133.20,2471
2134.01,4573
2134.02,4477
2140,3950
2141,3787
2144,3008
2145.01,3477
2145.03,3513
2145.04,3609
2145.05,1581
2146,2266
2147,2517
2148,2880
2149.02,2569
