GEO_ID,FIPS,Census_Tract_Name,Total population
1400000U,6037122000,1220,5326
1400000U,6037122120,1221.2,4387
1400000U,6037122121,1221.21,2726
1400000U,6037122122,1221.22,2562
1400000U,6037122200,1222,3625
1400000U,6037122410,1224.1,4083
1400000U,6037122420,1224.2,5328
1400000U,6037123010,1230.1,3828
1400000U,6037123020,1230.2,2804
1400000U,6037123103,1231.03,3893
1400000U,6037123104,1231.04,4700
1400000U,6037123203,1232.03,2926
1400000U,6037123204,1232.04,3333
1400000U,6037123205,1232.05,2834
1400000U,6037123206,1232.06,2470
1400000U,6037123301,1233.01,3956
1400000U,6037123303,1233.03,2842
1400000U,6037123304,1233.04,4435
1400000U,6037123410,1234.1,3469
1400000U,6037123420,1234.2,4453
1400000U,6037123510,1235.1,4652
1400000U,6037123520,1235.2,2488
1400000U,6037123601,1236.01,5498
1400000U,6037123602,1236.02,3099
1400000U,6037123700,1237,3827
1400000U,6037123800,1238,5552
1400000U,6037123901,1239.01,4369
1400000U,6037123902,1239.02,2758
1400000U,6037124000,1240,4502
1400000U,6037124102,1241.02,3653
1400000U,6037124103,1241.03,1891
1400000U,6037124104,1241.04,2777
1400000U,6037124105,1241.05,2191
1400000U,6037124201,1242.01,3445
1400000U,6037124203,1242.03,2063
1400000U,6037124204,1242.04,2537
1400000U,6037124300,1243,3094
1400000U,6037124400,1244,4470
1400000U,6037124500,1245,2728
1400000U,6037124600,1246,2849
1400000U,6037124700,1247,5251
1400000U,6037124902,1249.02,3129
1400000U,6037124903,1249.03,3964
1400000U,6037125101,1251.01,4465
1400000U,6037125102,1251.02,2053
1400000U,6037125200,1252,4203
1400000U,6037125310,1253.1,4170
1400000U,6037125321,1253.21,2840
1400000U,6037125322,1253.22,2090
1400000U,6037125402,1254.02,3821
1400000U,6037125403,1254.03,2594
1400000U,6037125404,1254.04,3001
1400000U,6037125501,1255.01,2969
1400000U,6037125502,1255.02,3696
1400000U,6037125600,1256,2990
1400000U,6037127102,1271.02,5292
1400000U,6037127103,1271.03,3354
1400000U,6037127104,1271.04,4327
1400000U,6037127210,1272.1,5434
1400000U,6037127220,1272.2,4750
1400000U,6037127300,1273,4301
1400000U,6037127400,1274,5638
1400000U,6037127520,1275.2,4868
1400000U,6037127603,1276.03,2873
1400000U,6037127604,1276.04,3151
1400000U,6037127605,1276.05,3682
1400000U,6037127606,1276.06,3218
1400000U,6037127711,1277.11,3231
1400000U,6037127712,1277.12,4047
1400000U,6037127803,1278.03,5002
1400000U,6037127804,1278.04,4433
1400000U,6037127805,1278.05,3514
1400000U,6037127806,1278.06,3729
1400000U,6037127910,1279.1,5072
1400000U,6037127920,1279.2,4385
1400000U,6037128101,1281.01,2823
1400000U,6037128102,1281.02,4892
1400000U,6037128210,1282.1,5000
1400000U,6037128220,1282.2,2992
1400000U,6037128302,1283.02,4559
1400000U,6037128303,1283.03,3432
1400000U,6037128400,1284,4274
1400000U,6037128500,1285,4401
1400000U,6037128601,1286.01,4842
1400000U,6037128602,1286.02,2687
1400000U,6037128703,1287.03,3576
1400000U,6037128704,1287.04,2328
1400000U,6037128801,1288.01,3864
1400000U,6037128802,1288.02,4317
1400000U,6037128910,1289.1,4528
1400000U,6037131021,1310.21,3237
1400000U,6037131022,1310.22,2877
1400000U,6037131023,1310.23,2655
1400000U,6037131024,1310.24,3894
1400000U,6037131100,1311,3017
1400000U,6037131200,1312,3681
1400000U,6037131300,1313,4316
1400000U,6037131400,1314,5895
1400000U,6037131600,1316,4942
1400000U,6037131701,1317.01,4877
1400000U,6037131702,1317.02,3669
1400000U,6037131801,1318.01,2879
1400000U,6037131802,1318.02,2337
1400000U,6037131900,1319,3959
1400000U,6037132001,1320.01,2714
1400000U,6037132002,1320.02,3585
1400000U,6037132101,1321.01,4113
1400000U,6037132102,1321.02,4993
1400000U,6037132301,1323.01,3616
1400000U,6037132302,1323.02,3176
1400000U,6037132501,1325.01,4658
1400000U,6037132502,1325.02,3398
1400000U,6037132700,1327,4922
1400000U,6037132900,1329,3877
1400000U,6037133000,1330,4096
1400000U,6037133101,1331.01,1709
1400000U,6037133102,1331.02,3926
1400000U,6037134001,1340.01,3457
1400000U,6037134002,1340.02,4024
1400000U,6037134101,1341.01,4660
1400000U,6037134103,1341.03,4172
1400000U,6037134104,1341.04,4076
1400000U,6037134201,1342.01,4062
1400000U,6037134302,1343.02,4411
1400000U,6037134303,1343.03,5455
1400000U,6037134304,1343.04,2863
1400000U,6037134305,1343.05,3693
1400000U,6037134306,1343.06,3699
1400000U,6037134421,1344.21,4401
1400000U,6037134422,1344.22,5079
1400000U,6037134423,1344.23,3417
1400000U,6037134424,1344.24,2835
1400000U,6037134520,1345.2,5178
1400000U,6037134521,1345.21,2736
1400000U,6037134522,1345.22,4521
1400000U,6037134710,1347.1,5304
1400000U,6037134720,1347.2,5545
1400000U,6037134801,1348.01,2951
1400000U,6037134802,1348.02,3123
1400000U,6037134901,1349.01,2469
1400000U,6037134904,1349.04,4866
1400000U,6037134905,1349.05,6046
1400000U,6037134906,1349.06,2933
1400000U,6037134907,1349.07,3854
1400000U,6037135102,1351.02,3848
1400000U,6037135111,1351.11,3807
1400000U,6037135113,1351.13,2980
1400000U,6037135115,1351.15,3921
1400000U,6037135116,1351.16,1507
1400000U,6037135201,1352.01,2999
1400000U,6037135202,1352.02,4745
1400000U,6037135204,1352.04,4665
1400000U,6037135205,1352.05,1874
1400000U,6037137000,1370,4823
1400000U,6037137103,1371.03,5100
1400000U,6037137104,1371.04,2233
1400000U,6037137202,1372.02,3368
1400000U,6037137203,1372.03,2595
1400000U,6037137301,1373.01,2182
1400000U,6037137302,1373.02,4564
1400000U,6037137401,1374.01,4673
1400000U,6037137402,1374.02,5905
1400000U,6037137501,1375.01,5495
1400000U,6037137502,1375.02,4582
1400000U,6037137504,1375.04,1889
1400000U,6037138000,1380,4777
1400000U,6037139001,1390.01,5515
1400000U,6037139200,1392,5758
1400000U,6037139301,1393.01,4137
1400000U,6037139302,1393.02,5001
1400000U,6037139303,1393.03,4807
1400000U,6037139401,1394.01,2431
1400000U,6037139402,1394.02,2834
1400000U,6037139502,1395.02,3315
1400000U,6037139504,1395.04,3764
1400000U,6037139505,1395.05,2512
1400000U,6037139506,1395.06,3109
1400000U,6037139600,1396,5164
